route_id,agency
BART PRE-TEST_Fruitvale (Oakland)                         Pleasant Hill/Contra Costa Centre,BART
BART PRE-TEST_Fruitvale (Oakland)                         Powell St. (SF),BART
BART PRE-TEST_Fruitvale (Oakland)                         Rockridge (Oakland),BART
BART PRE-TEST_Fruitvale (Oakland)                         West Oakland,BART
BART PRE-TEST_Glen Park (SF)                              Coliseum/Oakland Airport,BART
BART PRE-TEST_Glen Park (SF)                              Lake Merritt (Oakland),BART
BART PRE-TEST_Glen Park (SF)                              Montgomery St. (SF),BART
BART PRE-TEST_Glen Park (SF)                              Pittsburg/Bay Point,BART
BART PRE-TEST_Glen Park (SF)                              Powell St. (SF),BART
BART PRE-TEST_Glen Park (SF)                              Richmond,BART
BART PRE-TEST_Glen Park (SF)                              West Dublin/Pleasanton,BART
BART PRE-TEST_Hayward                                     19th St. Oakland,BART
BART PRE-TEST_Hayward                                     Civic Center/UN Plaza (SF),BART
BART PRE-TEST_Hayward                                     Coliseum/Oakland Airport,BART
BART PRE-TEST_Hayward                                     Downtown Berkeley,BART
BART PRE-TEST_Hayward                                     Dublin/Pleasanton,BART
BART PRE-TEST_Hayward                                     El Cerrito del Norte,BART
BART PRE-TEST_Hayward                                     Fremont,BART
BART PRE-TEST_Hayward                                     MacArthur (Oakland),BART
BART PRE-TEST_Hayward                                     Millbrae,BART
BART PRE-TEST_Hayward                                     Montgomery St. (SF),BART
BART PRE-TEST_Hayward                                     Pittsburg/Bay Point,BART
BART PRE-TEST_Hayward                                     Powell St. (SF),BART
BART PRE-TEST_Hayward                                     Richmond,BART
BART PRE-TEST_Hayward                                     Union City,BART
BART PRE-TEST_Lafayette                                   19th St. Oakland,BART
BART PRE-TEST_Lafayette                                   Civic Center/UN Plaza (SF),BART
BART PRE-TEST_Lafayette                                   Concord,BART
BART PRE-TEST_Lafayette                                   Embarcadero (SF),BART
BART PRE-TEST_Lafayette                                   Fruitvale (Oakland),BART
BART PRE-TEST_Lafayette                                   Montgomery St. (SF),BART
BART PRE-TEST_Lafayette                                   North Concord/Martinez,BART
BART PRE-TEST_Lafayette                                   Powell St. (SF),BART
BART PRE-TEST_Lafayette                                   Walnut Creek,BART
BART PRE-TEST_Lake Merritt (Oakland)                      19th St. Oakland,BART
BART PRE-TEST_Lake Merritt (Oakland)                      Bay Fair (San Leandro),BART
BART PRE-TEST_Lake Merritt (Oakland)                      Castro Valley,BART
BART PRE-TEST_Lake Merritt (Oakland)                      Civic Center/UN Plaza (SF),BART
BART PRE-TEST_Lake Merritt (Oakland)                      Coliseum/Oakland Airport,BART
BART PRE-TEST_Lake Merritt (Oakland)                      Downtown Berkeley,BART
BART PRE-TEST_Lake Merritt (Oakland)                      Dublin/Pleasanton,BART
BART PRE-TEST_Lake Merritt (Oakland)                      El Cerrito del Norte,BART
BART PRE-TEST_Lake Merritt (Oakland)                      Embarcadero (SF),BART
BART PRE-TEST_Lake Merritt (Oakland)                      Fremont,BART
BART PRE-TEST_Lake Merritt (Oakland)                      Fruitvale (Oakland),BART
BART PRE-TEST_Lake Merritt (Oakland)                      Lafayette,BART
BART PRE-TEST_Lake Merritt (Oakland)                      Montgomery St. (SF),BART
BART PRE-TEST_Lake Merritt (Oakland)                      Powell St. (SF),BART
BART PRE-TEST_Lake Merritt (Oakland)                      San Francisco International Airport,BART
BART PRE-TEST_Lake Merritt (Oakland)                      Union City,BART
