OBS_route_id,OBS_agency,GTFS1.8_route_id,GTFS1.8_agency,
BART PRE-TEST_Downtown Berkeley                           North Berkeley,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           North Concord/Martinez,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Orinda,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Pittsburg/Bay Point,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Powell St. (SF),BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Richmond,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           South Hayward,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           Union City,BART,,bart,
BART PRE-TEST_Downtown Berkeley                           West Dublin/Pleasanton,BART,,bart,
BART PRE-TEST_Dublin/Pleasanton                           16th St. Mission (SF),BART,,bart,
BART PRE-TEST_Dublin/Pleasanton                           Balboa Park (SF),BART,,bart,
BART PRE-TEST_Dublin/Pleasanton                           Bay Fair (San Leandro),BART,,bart,
BART PRE-TEST_Dublin/Pleasanton                           Castro Valley,BART,,bart,
BART PRE-TEST_Dublin/Pleasanton                           Daly City,BART,,bart,
BART PRE-TEST_Dublin/Pleasanton                           Downtown Berkeley,BART,,bart,
BART PRE-TEST_Dublin/Pleasanton                           Embarcadero (SF),BART,,bart,
BART PRE-TEST_Dublin/Pleasanton                           Montgomery St. (SF),BART,,bart,
BART PRE-TEST_El Cerrito Plaza                            12th St. Oakland City Center,BART,,bart,
BART PRE-TEST_El Cerrito Plaza                            24th St. Mission (SF),BART,,bart,
BART PRE-TEST_El Cerrito Plaza                            Civic Center/UN Plaza (SF),BART,,bart,
BART PRE-TEST_El Cerrito Plaza                            Downtown Berkeley,BART,,bart,
BART PRE-TEST_El Cerrito Plaza                            Embarcadero (SF),BART,,bart,
BART PRE-TEST_El Cerrito Plaza                            Montgomery St. (SF),BART,,bart,
