trip_list_id_num,person_id,o_taz,d_taz,mode,purpose,departure_time,arrival_time,time_target,vot
10287,46742,1926,78,walk-transit-walk,other,6:50:00,6:50:00,departure,1
10288,46753,1204,950,walk-transit-walk,work,,,departure,1
10289,46760,183,1234,walk-transit-walk,work,6:55:00,6:55:00,departure,1
10290,46763,911,776,walk-transit-walk,work,6:45:00,6:45:00,departure,10.02
10291,46771,1867,939,walk-transit-walk,work,6:39:00,6:39:00,departure,1
10292,46777,1929,937,walk-transit-walk,work,6:58:00,6:58:00,departure,30.05
10293,46786,1204,942,walk-transit-walk,work,,,departure,1
10294,46789,1947,2018,walk-transit-walk,high_school,6:57:00,6:57:00,departure,16.11
10295,46791,1965,1872,walk-transit-walk,work,20:16:00,20:16:00,departure,15.02
10296,46795,176,939,walk-transit-walk,work,7:22:00,7:22:00,departure,1
10297,46798,140,950,walk-transit-walk,work,6:20:00,6:20:00,departure,30.05
10298,46802,1965,1874,walk-transit-walk,other,7:34:00,7:34:00,departure,1.88
10299,46805,1204,950,walk-transit-walk,work,,,departure,1
10300,46808,35,205,walk-transit-walk,work,7:49:00,7:49:00,departure,7.51
10301,46812,1872,1969,walk-transit-walk,work,7:11:00,7:11:00,departure,1
10302,46815,1874,1970,walk-transit-walk,other,20:02:00,20:02:00,departure,20.13
10303,46820,1947,2018,walk-transit-walk,college,7:55:00,7:55:00,departure,10.07
10304,46821,1927,808,walk-transit-walk,work,6:10:00,6:10:00,departure,14.42
10305,46823,1204,735,walk-transit-walk,work,,,departure,1
10306,46833,1926,684,walk-transit-walk,college,6:48:00,6:48:00,departure,1
10307,46835,1946,940,walk-transit-walk,work,7:53:00,7:53:00,departure,30.05
10308,46842,45,134,walk-transit-walk,work,7:05:00,7:05:00,departure,21.03
10309,46849,1874,2019,walk-transit-walk,grade_school,4:35:00,4:35:00,departure,1
10310,46851,1925,2019,walk-transit-walk,work,6:36:00,6:36:00,departure,15.02
10311,46852,1965,2018,walk-transit-walk,work,7:53:00,7:53:00,departure,1
10312,46856,910,743,walk-transit-walk,work,7:57:00,7:57:00,departure,10.02
10313,46859,1895,1969,walk-transit-walk,work,7:51:00,7:51:00,departure,1
10314,46860,1871,690,walk-transit-walk,work,7:13:00,7:13:00,departure,42.07
10315,46866,1983,1818,walk-transit-walk,work,15:45:00,15:45:00,departure,1
10316,46867,1986,1733,walk-transit-walk,work,7:39:00,7:39:00,departure,15.02
10317,46868,156,810,walk-transit-walk,work,7:32:00,7:32:00,departure,1
10318,46869,124,2145,walk-transit-walk,work_based,7:39:00,7:39:00,departure,1
10319,46880,1847,684,walk-transit-walk,work,7:50:00,7:50:00,departure,21.03
10320,46883,1927,1742,walk-transit-walk,work,7:30:00,7:30:00,departure,2.4
10321,46885,1926,1946,walk-transit-walk,college,7:16:00,7:16:00,departure,1
10322,46886,1946,1968,walk-transit-walk,work,7:32:00,7:32:00,departure,7.51
10323,46888,1874,950,walk-transit-walk,other,5:38:00,5:38:00,departure,24.16
10324,46890,113,765,walk-transit-walk,work,7:46:00,7:46:00,departure,1
10325,46894,1934,2018,walk-transit-walk,work,7:48:00,7:48:00,departure,10.22
10326,46902,65,1201,walk-transit-walk,college,6:49:00,6:49:00,departure,9.4
10327,46905,1819,1945,walk-transit-walk,work,7:46:00,7:46:00,departure,1
10328,46906,1872,1946,walk-transit-walk,work,7:15:00,7:15:00,departure,1
10329,46908,135,1828,walk-transit-walk,work,7:45:00,7:45:00,departure,7.21
10330,46909,1871,647,walk-transit-walk,work_based,6:28:00,6:28:00,departure,1
10331,46912,1967,1742,walk-transit-walk,work,7:55:00,7:55:00,departure,15.02
10332,46931,1871,300,walk-transit-walk,work,7:49:00,7:49:00,departure,1
10333,46932,65,628,walk-transit-walk,work,7:59:00,7:59:00,departure,15.02
10334,46945,1925,1204,walk-transit-walk,work,7:36:00,7:36:00,departure,1
10335,46949,1874,735,walk-transit-walk,other,4:43:00,4:43:00,departure,40.26
10336,46952,1986,1969,walk-transit-walk,work,8:23:00,8:23:00,departure,10.22
10337,46954,188,2017,walk-transit-walk,other,8:56:00,8:56:00,departure,1
10338,46957,1871,1969,walk-transit-walk,work,8:01:00,8:01:00,departure,1
10339,46958,48,761,walk-transit-walk,work,8:13:00,8:13:00,departure,15.02
10340,46967,1874,2019,walk-transit-walk,other,5:28:00,5:28:00,departure,24.16
10341,46968,1870,2019,walk-transit-walk,work,8:38:00,8:38:00,departure,1
10342,46969,171,1778,walk-transit-walk,work_based,7:43:00,7:43:00,departure,1
10343,46971,1871,1968,walk-transit-walk,work,8:46:00,8:46:00,departure,15.02
10344,46974,1817,742,walk-transit-walk,college,8:58:00,8:58:00,departure,1
10345,46976,139,1945,walk-transit-walk,other,,,departure,1
10346,46977,1874,621,walk-transit-walk,other,5:56:00,5:56:00,departure,24.16
10347,46978,1946,2023,walk-transit-walk,college,8:03:00,8:03:00,departure,1
10348,46982,1872,743,walk-transit-walk,work,8:17:00,8:17:00,departure,1
10349,46983,48,648,walk-transit-walk,work,8:27:00,8:27:00,departure,30.05
10350,46992,1968,793,walk-transit-walk,other,8:15:00,8:15:00,departure,6.84
10351,46996,124,1971,walk-transit-walk,work,8:27:00,8:27:00,departure,1
10352,47002,1946,932,walk-transit-walk,work,8:24:00,8:24:00,departure,6.81
10353,47005,1874,308,walk-transit-walk,other,5:57:00,5:57:00,departure,13.69
10354,47010,1874,2046,walk-transit-walk,other,,,departure,1
10355,47014,1870,1971,walk-transit-walk,work,8:39:00,8:39:00,departure,20.43
10356,47020,1871,1204,walk-transit-walk,other,5:42:00,5:42:00,departure,1
10357,47024,1874,1968,walk-transit-walk,other,,,departure,12.08
10358,47025,146,38,walk-transit-walk,work,8:28:00,8:28:00,departure,1
10359,47030,1984,1856,walk-transit-walk,work,8:02:00,8:02:00,departure,10.02
10360,47039,1874,2019,walk-transit-walk,other,5:28:00,5:28:00,departure,1
10361,47048,1874,935,walk-transit-walk,other,20:31:00,20:31:00,departure,20.13
10362,47049,1874,362,walk-transit-walk,other,6:41:00,6:41:00,departure,1
10363,47052,1874,855,walk-transit-walk,other,20:53:00,20:53:00,departure,40.26
10364,47054,1874,1946,walk-transit-walk,other,7:41:00,7:41:00,departure,16.11
10365,47055,1874,1978,walk-transit-walk,other,,,departure,10.07
10366,47059,1874,740,walk-transit-walk,other,5:51:00,5:51:00,departure,9.4
10367,47063,1874,2018,walk-transit-walk,other,9:50:00,9:50:00,departure,1
10368,47064,1874,648,walk-transit-walk,other,,,departure,24.16
10369,47067,1874,2009,walk-transit-walk,other,,,departure,14.09
