route_id,agency_id,route_short_name,route_long_name,route_type
83_GG59SB,golden_gate_transit,GG59,GG59_SB,3
83_GG59NB,golden_gate_transit,GG59,GG59_NB,3
83_GG63,golden_gate_transit,GG63,GG63,3
83_GG22ASB,golden_gate_transit,GG22A,GG22A_SB,3
83_GG23D,golden_gate_transit,GG23D,GG23D,3
83_GG75SB,golden_gate_transit,GG75,GG75_SB,3
83_GG75NB,golden_gate_transit,GG75,GG75_NB,3
84_GG40EB,golden_gate_transit,GG40,GG40_EB,3
84_GG40WB,golden_gate_transit,GG40,GG40_WB,3
84_GG42WB,golden_gate_transit,GG42,GG42_WB,3
84_GG42EB,golden_gate_transit,GG42,GG42_EB,3
80_GG8SB,golden_gate_transit,GG8,GG8_SB,3
80_GG74SB,golden_gate_transit,GG74,GG74_SB,3
80_GG97,golden_gate_transit,GG97,GG97,3
80_GG2SB,golden_gate_transit,GG2,GG2_SB,3
80_GG72XSB,golden_gate_transit,GG72X,GG72X_SB,3
80_GG70SB,golden_gate_transit,GG70,GG70_SB,3
80_GG70NB,golden_gate_transit,GG70,GG70_NB,3
80_GG80SB,golden_gate_transit,GG80,GG80_SB,3
80_GG80NB,golden_gate_transit,GG80,GG80_NB,3
80_GG10NB,golden_gate_transit,GG10,GG10_NB,3
80_GG10NBX,golden_gate_transit,GG10NBX,GG10NBX,3
80_GG18SB,golden_gate_transit,GG18,GG18_SB,3
80_GG18NB,golden_gate_transit,GG18,GG18_NB,3
80_GG70NBX,golden_gate_transit,GG70NBX,GG70NBX,3
80_GG93NB,golden_gate_transit,GG93,GG93_NB,3
80_GG26NB,golden_gate_transit,GG26,GG26_NB,3
80_GG27NB,golden_gate_transit,GG27,GG27_NB,3
80_GG26SB,golden_gate_transit,GG26,GG26_SB,3
80_GG27SB,golden_gate_transit,GG27,GG27_SB,3
80_GG2NB,golden_gate_transit,GG2,GG2_NB,3
80_GG38SB,golden_gate_transit,GG38,GG38_SB,3
80_GG38NB,golden_gate_transit,GG38,GG38_NB,3
80_GG4SB,golden_gate_transit,GG4,GG4_SB,3
80_GG4NB,golden_gate_transit,GG4,GG4_NB,3
80_GG44SB,golden_gate_transit,GG44,GG44_SB,3
80_GG44NB,golden_gate_transit,GG44,GG44_NB,3
80_GG54SB,golden_gate_transit,GG54,GG54_SB,3
80_GG54NB,golden_gate_transit,GG54,GG54_NB,3
80_GG56SB,golden_gate_transit,GG56,GG56_SB,3
80_GG56NB,golden_gate_transit,GG56,GG56_NB,3
80_GG58SB,golden_gate_transit,GG58,GG58_SB,3
80_GG58NB,golden_gate_transit,GG58,GG58_NB,3
80_GG60SB,golden_gate_transit,GG60,GG60_SB,3
80_GG60NB,golden_gate_transit,GG60,GG60_NB,3
80_GG72SB,golden_gate_transit,GG72,GG72_SB,3
80_GG72NB,golden_gate_transit,GG72,GG72_NB,3
80_GG72SBA,golden_gate_transit,GG72SBA,GG72SBA,3
